Destination,Prefix,Rate
Albania - Fixed - Alternative Net,35537160,0.2264
Albania - Fixed - Alternative Net,35537229,0.2264
Albania - Fixed - Alternative Net,35537270,0.2264
Albania - Fixed - Alternative Net,35537330,0.2264
Albania - Fixed - Alternative Net,35537362,0.2264
Albania - Fixed - Alternative Net,35537420,0.2264
Albania - Fixed - Alternative Net,35537473,0.2264
Albania - Fixed - Alternative Net,35538140,0.2264
Albania - Fixed - Alternative Net,35538141,0.2264
Albania - Fixed - Alternative Net,35538170,0.2264
Albania - Fixed - Alternative Net,35538260,0.2264
Albania - Fixed - Alternative Net,35538320,0.2264
Albania - Fixed - Alternative Net,35538321,0.2264
Albania - Fixed - Alternative Net,35538324,0.2264
Albania - Fixed - Alternative Net,3553833,0.2264
Albania - Fixed - Alternative Net,3553844,0.2264
Albania - Fixed - Alternative Net,355384700,0.2264
Albania - Fixed - Alternative Net,355384701,0.2264
Albania - Fixed - Alternative Net,355384702,0.2264
Albania - Fixed - Alternative Net,355384703,0.2264
Albania - Fixed - Alternative Net,355384704,0.2264
Albania - Fixed - Alternative Net,355384705,0.2264
Albania - Fixed - Alternative Net,35538520,0.2264
Albania - Fixed - Alternative Net,3553854,0.2264
Albania - Fixed - Alternative Net,3553858,0.2264
Albania - Fixed - Alternative Net,3553882,0.2264
Albania - Fixed - Alternative Net,35539140,0.2264
Albania - Fixed - Alternative Net,35539141,0.2264
Albania - Fixed - Alternative Net,35539260,0.2264
Albania - Fixed - Alternative Net,35539340,0.2264
Albania - Fixed - Alternative Net,35539342,0.2264
Albania - Fixed - Alternative Net,35539350,0.2264
Albania - Fixed - Alternative Net,35539351,0.2264
Albania - Fixed - Alternative Net,3553942,0.2264
Albania - Fixed - Alternative Net,3553944,0.2264
Albania - Fixed - Alternative Net,3553953,0.2264
Albania - Fixed - Alternative Net,35539550,0.2264
Albania - Fixed - Alternative Net,35539551,0.2264
Albania - Fixed - Alternative Net,3553962,0.2264
Albania - Fixed - Alternative Net,3553967,0.2264
Albania - Fixed - Alternative Net,3554410,0.2264
Albania - Fixed - Alternative Net,3554420,0.2264
Albania - Fixed - Alternative Net,355443,0.2264
Albania - Fixed - Alternative Net,3554440,0.2264
Albania - Fixed - Alternative Net,3554441,0.2264
Albania - Fixed - Alternative Net,3554442,0.2264
Albania - Fixed - Alternative Net,355445,0.2264
Albania - Fixed - Alternative Net,355447,0.2264
Albania - Fixed - Alternative Net,355448,0.2264
Albania - Fixed - Alternative Net,3554520,0.2264
Albania - Fixed - Alternative Net,35545350,0.2264
Albania - Fixed - Alternative Net,35545351,0.2264
Albania - Fixed - Alternative Net,35545352,0.2264
Albania - Fixed - Alternative Net,35545353,0.2264
Albania - Fixed - Alternative Net,35545354,0.2264
Albania - Fixed - Alternative Net,35545400,0.2264
Albania - Fixed - Alternative Net,35545550,0.2264
Albania - Fixed - Alternative Net,3554560,0.2264
Albania - Fixed - Alternative Net,35545800,0.2264
Albania - Fixed - Alternative Net,35547220,0.2264
Albania - Fixed - Alternative Net,35547221,0.2264
Albania - Fixed - Alternative Net,35547222,0.2264
Albania - Fixed - Alternative Net,35547223,0.2264
Albania - Fixed - Alternative Net,35547224,0.2264
Albania - Fixed - Alternative Net,35547235,0.2264
Albania - Fixed - Alternative Net,35547270,0.2264
Albania - Fixed - Alternative Net,35547420,0.2264
Albania - Fixed - Alternative Net,35547460,0.2264
Albania - Fixed - Alternative Net,35547480,0.2264
Albania - Fixed - Alternative Net,35547481,0.2264
Albania - Fixed - Alternative Net,35547520,0.2264
Albania - Fixed - Alternative Net,35547521,0.2264
Albania - Fixed - Alternative Net,35547630,0.2264
Albania - Fixed - Alternative Net,35547640,0.2264
Albania - Fixed - Alternative Net,35547641,0.2264
Albania - Fixed - Alternative Net,35547642,0.2264
Albania - Fixed - Alternative Net,35547643,0.2264
Albania - Fixed - Alternative Net,35547644,0.2264
Albania - Fixed - Alternative Net,35547670,0.2264
Albania - Fixed - Alternative Net,35547800,0.2264
Albania - Fixed - Alternative Net,35547840,0.2264
Albania - Fixed - Alternative Net,35547841,0.2264
Albania - Fixed - Alternative Net,35548200,0.2264
Albania - Fixed - Alternative Net,35548201,0.2264
Albania - Fixed - Alternative Net,35548202,0.2264
Albania - Fixed - Alternative Net,35548230,0.2264
Albania - Fixed - Alternative Net,35548240,0.2264
Albania - Fixed - Alternative Net,35548241,0.2264
Albania - Fixed - Alternative Net,35548242,0.2264
Albania - Fixed - Alternative Net,35548243,0.2264
Albania - Fixed - Alternative Net,35548244,0.2264
Albania - Fixed - Alternative Net,35548300,0.2264
Albania - Fixed - Alternative Net,35548301,0.2264
Albania - Fixed - Alternative Net,35548302,0.2264
Albania - Fixed - Alternative Net,35548303,0.2264
Albania - Fixed - Alternative Net,35548500,0.2264
Albania - Fixed - Alternative Net,3554852,0.2264
Albania - Fixed - Alternative Net,35548550,0.2264
Albania - Fixed - Alternative Net,35548551,0.2264
Albania - Fixed - Alternative Net,35548600,0.2264
Albania - Fixed - Alternative Net,35548620,0.2264
Albania - Fixed - Alternative Net,35548730,0.2264
Albania - Fixed - Alternative Net,35548731,0.2264
Albania - Fixed - Alternative Net,3554881,0.2264
Albania - Fixed - Alternative Net,35548821,0.2264
Albania - Fixed - Alternative Net,35548830,0.2264
Albania - Fixed - Alternative Net,35548910,0.2264
Albania - Fixed - Alternative Net,35548920,0.2264
Albania - Fixed - Alternative Net,35548970,0.2264
Albania - Fixed - Alternative Net,35548971,0.2264
Albania - Fixed - Alternative Net,35549220,0.2264
Albania - Fixed - Alternative Net,35549230,0.2264
Albania - Fixed - Alternative Net,35549231,0.2264
Albania - Fixed - Alternative Net,35549420,0.2264
Albania - Fixed - Alternative Net,35549421,0.2264
Albania - Fixed - Alternative Net,35549510,0.2264
Albania - Fixed - Alternative Net,35549540,0.2264
Albania - Fixed - Alternative Net,35549541,0.2264
Albania - Fixed - Alternative Net,35551170,0.2264
Albania - Fixed - Alternative Net,35551180,0.2264
Albania - Fixed - Alternative Net,35551181,0.2264
Albania - Fixed - Alternative Net,35551252,0.2264
Albania - Fixed - Alternative Net,35551254,0.2264
Albania - Fixed - Alternative Net,35551341,0.2264
Albania - Fixed - Alternative Net,35551352,0.2264
Albania - Fixed - Alternative Net,35551354,0.2264
Albania - Fixed - Alternative Net,35551441,0.2264
Albania - Fixed - Alternative Net,35551480,0.2264
Albania - Fixed - Alternative Net,35552410,0.2264
Albania - Fixed - Alternative Net,3555242,0.2264
Albania - Fixed - Alternative Net,35552430,0.2264
Albania - Fixed - Alternative Net,3555250,0.2264
Albania - Fixed - Alternative Net,35552800,0.2264
Albania - Fixed - Alternative Net,35552801,0.2264
Albania - Fixed - Alternative Net,3555290,0.2264
Albania - Fixed - Alternative Net,35553500,0.2264
Albania - Fixed - Alternative Net,35553600,0.2264
Albania - Fixed - Alternative Net,35553601,0.2264
Albania - Fixed - Alternative Net,35553602,0.2264
Albania - Fixed - Alternative Net,35553603,0.2264
Albania - Fixed - Alternative Net,35553604,0.2264
Albania - Fixed - Alternative Net,35554400,0.2264
Albania - Fixed - Alternative Net,3555441,0.2264
Albania - Fixed - Alternative Net,3555451,0.2264
Albania - Fixed - Alternative Net,35554810,0.2264
Albania - Fixed - Alternative Net,35555500,0.2264
Albania - Fixed - Alternative Net,35555501,0.2264
Albania - Fixed - Alternative Net,35555502,0.2264
Albania - Fixed - Alternative Net,35555503,0.2264
Albania - Fixed - Alternative Net,35555504,0.2264
Albania - Fixed - Alternative Net,35555800,0.2264
Albania - Fixed - Alternative Net,35555900,0.2264
Albania - Fixed - Alternative Net,35555901,0.2264
Albania - Fixed - Alternative Net,35555902,0.2264
Albania - Fixed - Alternative Net,35555903,0.2264
Albania - Fixed - Alternative Net,35555904,0.2264
Albania - Fixed - Alternative Net,35556170,0.2264
Albania - Fixed - Alternative Net,35556242,0.2264
Albania - Fixed - Alternative Net,35556330,0.2264
Albania - Fixed - Alternative Net,35556331,0.2264
Albania - Fixed - Alternative Net,35556360,0.2264
Albania - Fixed - Alternative Net,35557020,0.2264
Albania - Fixed - Alternative Net,35557160,0.2264
Albania - Fixed - Alternative Net,35557161,0.2264
Albania - Fixed - Alternative Net,35557242,0.2264
Albania - Fixed - Alternative Net,35557250,0.2264
Albania - Fixed - Alternative Net,35557251,0.2264
Albania - Fixed - Alternative Net,35557340,0.2264
Albania - Fixed - Alternative Net,35557342,0.2264
Albania - Fixed - Alternative Net,35557370,0.2264
Albania - Fixed - Alternative Net,35557371,0.2264
Albania - Fixed - Alternative Net,35557422,0.2264
Albania - Fixed - Alternative Net,35557423,0.2264
Albania - Fixed - Alternative Net,35557424,0.2264
Albania - Fixed - Alternative Net,35557480,0.2264
Albania - Fixed - Alternative Net,35557520,0.2264
Albania - Fixed - Alternative Net,35557580,0.2264
Albania - Fixed - Alternative Net,35557620,0.2264
Albania - Fixed - Alternative Net,35557621,0.2264
Albania - Fixed - Alternative Net,35557752,0.2264
Albania - Fixed - Alternative Net,35557824,0.2264
Albania - Fixed - Alternative Net,35557850,0.2264
Albania - Fixed - Alternative Net,35557854,0.2264
Albania - Fixed - Alternative Net,35557862,0.2264
Albania - Fixed - Alternative Net,35557863,0.2264
Albania - Fixed - Alternative Net,35557920,0.2264
Albania - Fixed - Alternative Net,35557930,0.2264
Albania - Fixed - Alternative Net,35557950,0.2264
Albania - Fixed - Alternative Net,35558070,0.2264
Albania - Fixed - Alternative Net,35558144,0.2264
Albania - Fixed - Alternative Net,35558242,0.2264
Albania - Fixed - Alternative Net,35558244,0.2264
Albania - Fixed - Alternative Net,35558320,0.2264
Albania - Fixed - Alternative Net,35558326,0.2264
Albania - Fixed - Alternative Net,35558380,0.2264
Albania - Fixed - Alternative Net,3555839,0.2264
Albania - Fixed - Alternative Net,35558429,0.2264
Albania - Fixed - Alternative Net,35558430,0.2264
Albania - Fixed - Alternative Net,35558523,0.2264
Albania - Fixed - Alternative Net,35558524,0.2264
Albania - Fixed - Alternative Net,35558526,0.2264
Albania - Fixed - Alternative Net,3555863,0.2264
Albania - Fixed - Alternative Net,35558720,0.2264
Albania - Fixed - Alternative Net,35558721,0.2264
Albania - Fixed - Alternative Net,35558730,0.2264
Albania - Fixed - Alternative Net,35558782,0.2264
Albania - Fixed - Alternative Net,35558943,0.2264
Albania - Fixed - Alternative Net,35559142,0.2264
Albania - Fixed - Alternative Net,35559144,0.2264
Albania - Fixed - Alternative Net,35559799,0.2264
Albania - Fixed - Alternative Net,35581152,0.2264
Albania - Fixed - Alternative Net,35581154,0.2264
Albania - Fixed - Alternative Net,35581270,0.2264
Albania - Fixed - Alternative Net,35581370,0.2264
Albania - Fixed - Alternative Net,35581372,0.2264
Albania - Fixed - Alternative Net,35581441,0.2264
Albania - Fixed - Alternative Net,35581470,0.2264
Albania - Fixed - Alternative Net,35581472,0.2264
Albania - Fixed - Alternative Net,35581550,0.2264
Albania - Fixed - Alternative Net,35581570,0.2264
Albania - Fixed - Alternative Net,35581572,0.2264
Albania - Fixed - Alternative Net,35582400,0.2264
Albania - Fixed - Alternative Net,3558250,0.2264
Albania - Fixed - Alternative Net,35582520,0.2264
Albania - Fixed - Alternative Net,355828,0.2264
Albania - Fixed - Alternative Net,35583520,0.2264
Albania - Fixed - Alternative Net,35583600,0.2264
Albania - Fixed - Alternative Net,35583601,0.2264
Albania - Fixed - Alternative Net,35583602,0.2264
Albania - Fixed - Alternative Net,35583603,0.2264
Albania - Fixed - Alternative Net,35583604,0.2264
Albania - Fixed - Alternative Net,35583605,0.2264
Albania - Fixed - Alternative Net,35583620,0.2264
Albania - Fixed - Alternative Net,35583621,0.2264
Albania - Fixed - Alternative Net,35584410,0.2264
Albania - Fixed - Alternative Net,35584800,0.2264
Albania - Fixed - Alternative Net,35584820,0.2264
Albania - Fixed - Alternative Net,35585410,0.2264
Albania - Fixed - Alternative Net,35585800,0.2264
Albania - Fixed - Alternative Net,35585820,0.2264
Albania - Fixed - Alternative Net,35586142,0.2264
Albania - Fixed - Alternative Net,35586144,0.2264
Albania - Fixed - Alternative Net,35586220,0.2264
Albania - Fixed - Alternative Net,35586230,0.2264
Albania - Fixed - Alternative Net,35586320,0.2264
Albania - Fixed - Alternative Net,35586321,0.2264
Albania - Fixed - Alternative Net,3558633,0.2264
Albania - Fixed - Alternative Net,35586340,0.2264
Albania - Fixed - Alternative Net,35586420,0.2264
Albania - Fixed - Alternative Net,35586450,0.2264
Albania - Fixed - Alternative Net,3558655,0.2264
Albania - Fixed - Alternative Net,35586560,0.2264
Albania - Fixed - Alternative Net,3558662,0.2264
Albania - Fixed - Alternative Net,35586630,0.2264
Albania - Fixed - Alternative Net,3558667,0.2264
Albania - Fixed - Alternative Net,3558673,0.2264
Albania - Fixed - Alternative Net,3558679,0.2264
Albania - Fixed - Alternative Net,35586820,0.2264
Albania - Fixed - Alternative Net,35586930,0.2264
Albania - Fixed - Alternative Net,35587142,0.2264
Albania - Fixed - Alternative Net,35587320,0.2264
Albania - Fixed - Alternative Net,35587380,0.2264
Albania - Fixed - Alternative Net,3558742,0.2264
Albania - Fixed - Alternative Net,3558747,0.2264
Albania - Fixed - Alternative Net,35587480,0.2264
Albania - Fixed - Alternative Net,35587560,0.2264
Albania - Fixed - Alternative Net,35587562,0.2264
Albania - Fixed - Alternative Net,35588160,0.2264
Albania - Fixed - Alternative Net,35588162,0.2264
Albania - Fixed - Alternative Net,3558819,0.2264
Albania - Fixed - Alternative Net,3558822,0.2264
Albania - Fixed - Alternative Net,3558827,0.2264
Albania - Fixed - Alternative Net,3558829,0.2264
Albania - Fixed - Alternative Net,35588323,0.2264
Albania - Fixed - Alternative Net,3558836,0.2264
Albania - Fixed - Alternative Net,3558843,0.2264
Albania - Fixed - Alternative Net,3558849,0.2264
Albania - Fixed - Alternative Net,35588560,0.2264
Albania - Fixed - Alternative Net,35588562,0.2264
Albania - Fixed - Alternative Net,35589144,0.2264
Albania - Fixed - Alternative Net,35589146,0.2264
Albania - Fixed - Alternative Net,35589160,0.2264
Albania - Fixed - Alternative Net,3558917,0.2264
Albania - Fixed - Alternative Net,35589180,0.2264
Albania - Fixed - Alternative Net,3558919,0.2264
Albania - Fixed - Alternative Net,35589220,0.2264
Albania - Fixed - Alternative Net,3558923,0.2264
Albania - Fixed - Alternative Net,3558934,0.2264
Albania - Fixed - Alternative Net,3558942,0.2264
Albania - Fixed - Alternative Net,35589430,0.2264
Albania - Fixed - Alternative Net,3558952,0.2264
Albania - Fixed - Alternative Net,35589530,0.2264
Albania - Fixed - Alternative Net,35589550,0.2264
Albania - Fixed - Alternative Net,3558956,0.2264
Albania - Fixed - Amc,35521160,0.2467
Albania - Fixed - Amc,35521161,0.2467
Albania - Fixed - Amc,35521250,0.2467
Albania - Fixed - Amc,35521340,0.2467
Albania - Fixed - Amc,35521440,0.2467
Albania - Fixed - Amc,3552155,0.2467
Albania - Fixed - Amc,35521650,0.2467
Albania - Fixed - Amc,35521651,0.2467
Albania - Fixed - Amc,35521740,0.2467
Albania - Fixed - Amc,35521741,0.2467
Albania - Fixed - Amc,3552185,0.2467
Albania - Fixed - Amc,35521940,0.2467
Albania - Fixed - Amc,3552253,0.2467
Albania - Fixed - Amc,3552254,0.2467
Albania - Fixed - Amc,3552440,0.2467
Albania - Fixed - Amc,35526160,0.2467
Albania - Fixed - Amc,35526250,0.2467
Albania - Fixed - Amc,35526293,0.2467
Albania - Fixed - Amc,35526323,0.2467
Albania - Fixed - Amc,35526350,0.2467
Albania - Fixed - Amc,35526363,0.2467
Albania - Fixed - Amc,35526373,0.2467
Albania - Fixed - Amc,35526383,0.2467
Albania - Fixed - Amc,35526450,0.2467
Albania - Fixed - Amc,35526490,0.2467
Albania - Fixed - Amc,35526523,0.2467
Albania - Fixed - Amc,35526563,0.2467
Albania - Fixed - Amc,35526650,0.2467
Albania - Fixed - Amc,35526673,0.2467
Albania - Fixed - Amc,35526723,0.2467
Albania - Fixed - Amc,35526770,0.2467
Albania - Fixed - Amc,35526840,0.2467
Albania - Fixed - Amc,35526890,0.2467
Albania - Fixed - Amc,35526950,0.2467
Albania - Fixed - Amc,35526970,0.2467
Albania - Fixed - Amc,35526990,0.2467
Albania - Fixed - Amc,35527023,0.2467
Albania - Fixed - Amc,35527043,0.2467
Albania - Fixed - Amc,35527053,0.2467
Albania - Fixed - Amc,35527070,0.2467
Albania - Fixed - Amc,35527140,0.2467
Albania - Fixed - Amc,35527190,0.2467
Albania - Fixed - Amc,35527223,0.2467
Albania - Fixed - Amc,35527253,0.2467
Albania - Fixed - Amc,35527270,0.2467
Albania - Fixed - Amc,35527323,0.2467
Albania - Fixed - Amc,35527350,0.2467
Albania - Fixed - Amc,35527370,0.2467
Albania - Fixed - Amc,35527390,0.2467
Albania - Fixed - Amc,35527440,0.2467
Albania - Fixed - Amc,35527470,0.2467
Albania - Fixed - Amc,35527490,0.2467
Albania - Fixed - Amc,35527523,0.2467
Albania - Fixed - Amc,35527550,0.2467
Albania - Fixed - Amc,35527570,0.2467
Albania - Fixed - Amc,35527590,0.2467
Albania - Fixed - Amc,35527623,0.2467
Albania - Fixed - Amc,35527660,0.2467
Albania - Fixed - Amc,35527693,0.2467
Albania - Fixed - Amc,35527723,0.2467
Albania - Fixed - Amc,35527760,0.2467
Albania - Fixed - Amc,35527790,0.2467
Albania - Fixed - Amc,35527840,0.2467
Albania - Fixed - Amc,35527860,0.2467
Albania - Fixed - Amc,35527880,0.2467
Albania - Fixed - Amc,35527923,0.2467
Albania - Fixed - Amc,35527950,0.2467
Albania - Fixed - Amc,35527970,0.2467
Albania - Fixed - Amc,35527990,0.2467
Albania - Fixed - Amc,35528123,0.2467
Albania - Fixed - Amc,35528124,0.2467
Albania - Fixed - Amc,35528143,0.2467
Albania - Fixed - Amc,35528144,0.2467
Albania - Fixed - Amc,35528190,0.2467
Albania - Fixed - Amc,35528223,0.2467
Albania - Fixed - Amc,35528250,0.2467
Albania - Fixed - Amc,35528290,0.2467
Albania - Fixed - Amc,35528323,0.2467
Albania - Fixed - Amc,35528350,0.2467
Albania - Fixed - Amc,35528390,0.2467
Albania - Fixed - Amc,35528450,0.2467
Albania - Fixed - Amc,35528523,0.2467
Albania - Fixed - Amc,35528570,0.2467
Albania - Fixed - Amc,35528623,0.2467
Albania - Fixed - Amc,35528643,0.2467
Albania - Fixed - Amc,35528680,0.2467
Albania - Fixed - Amc,35528763,0.2467
Albania - Fixed - Amc,35528790,0.2467
Albania - Fixed - Amc,35528823,0.2467
Albania - Fixed - Amc,35528850,0.2467
Albania - Fixed - Amc,35528870,0.2467
Albania - Fixed - Amc,35528890,0.2467
Albania - Fixed - Amc,35528950,0.2467
Albania - Fixed - Amc,35528970,0.2467
Albania - Fixed - Amc,35528990,0.2467
Albania - Fixed - Amc,35529140,0.2467
Albania - Fixed - Amc,35529190,0.2467
Albania - Fixed - Amc,35529240,0.2467
Albania - Fixed - Amc,35529280,0.2467
Albania - Fixed - Amc,35529340,0.2467
Albania - Fixed - Amc,35529370,0.2467
Albania - Fixed - Amc,35529390,0.2467
Albania - Fixed - Amc,35529423,0.2467
Albania - Fixed - Amc,35529460,0.2467
Albania - Fixed - Amc,35529490,0.2467
Albania - Fixed - Amc,35529523,0.2467
Albania - Fixed - Amc,35529550,0.2467
Albania - Fixed - Amc,35529570,0.2467
Albania - Fixed - Amc,35529590,0.2467
Albania - Fixed - Amc,35529623,0.2467
Albania - Fixed - Amc,35529650,0.2467
Albania - Fixed - Amc,35529680,0.2467
Albania - Fixed - Amc,35529723,0.2467
Albania - Fixed - Amc,35529750,0.2467
Albania - Fixed - Amc,35529763,0.2467
Albania - Fixed - Amc,35529780,0.2467
Albania - Fixed - Amc,35531150,0.2467
Albania - Fixed - Amc,35531151,0.2467
Albania - Fixed - Amc,35531250,0.2467
Albania - Fixed - Amc,35531350,0.2467
Albania - Fixed - Amc,35531351,0.2467
Albania - Fixed - Amc,3553270,0.2467
Albania - Fixed - Amc,3553350,0.2467
Albania - Fixed - Amc,3553351,0.2467
Albania - Fixed - Amc,3553490,0.2467
Albania - Fixed - Amc,3553491,0.2467
Albania - Fixed - Amc,3553560,0.2467
Albania - Fixed - Amc,35536023,0.2467
Albania - Fixed - Amc,35536043,0.2467
Albania - Fixed - Amc,35536063,0.2467
Albania - Fixed - Amc,35536073,0.2467
Albania - Fixed - Amc,35536090,0.2467
Albania - Fixed - Amc,35536150,0.2467
Albania - Fixed - Amc,35536240,0.2467
Albania - Fixed - Amc,35536290,0.2467
Albania - Fixed - Amc,35536340,0.2467
Albania - Fixed - Amc,35536380,0.2467
Albania - Fixed - Amc,35536440,0.2467
Albania - Fixed - Amc,35536480,0.2467
Albania - Fixed - Amc,35536540,0.2467
Albania - Fixed - Amc,35536580,0.2467
Albania - Fixed - Amc,35536640,0.2467
Albania - Fixed - Amc,35536670,0.2467
Albania - Fixed - Amc,35536740,0.2467
Albania - Fixed - Amc,35536770,0.2467
Albania - Fixed - Amc,35536840,0.2467
Albania - Fixed - Amc,35536890,0.2467
Albania - Fixed - Amc,35536923,0.2467
Albania - Fixed - Amc,35536993,0.2467
Albania - Fixed - Amc,35537140,0.2467
Albania - Fixed - Amc,35537141,0.2467
Albania - Fixed - Amc,35537223,0.2467
Albania - Fixed - Amc,35537263,0.2467
Albania - Fixed - Amc,35537283,0.2467
Albania - Fixed - Amc,35537293,0.2467
Albania - Fixed - Amc,35537340,0.2467
Albania - Fixed - Amc,35537370,0.2467
Albania - Fixed - Amc,35537393,0.2467
Albania - Fixed - Amc,35537450,0.2467
Albania - Fixed - Amc,35537490,0.2467
Albania - Fixed - Amc,35537494,0.2467
Albania - Fixed - Amc,35537523,0.2467
Albania - Fixed - Amc,35537563,0.2467
Albania - Fixed - Amc,35537590,0.2467
Albania - Fixed - Amc,35537623,0.2467
Albania - Fixed - Amc,35537680,0.2467
Albania - Fixed - Amc,35537740,0.2467
Albania - Fixed - Amc,35537773,0.2467
Albania - Fixed - Amc,35537790,0.2467
Albania - Fixed - Amc,35537823,0.2467
Albania - Fixed - Amc,35537843,0.2467
